contaminante,zona,valor_activacion(ppb),estacion_inicio,dia_semana_inicio,fecha_activacion,hora_inicio,fase,valor_maximo,estacion_durante,fecha_durante,hora_durante,fecha_desactivacion,hora_levantamiento,valor_desactivacion_levantamiento,año
Ozono,NE,165,Gustavo A. Madero,Viernes,27/05/2016,15:00,I,165,Gustavo A. Madero,27/05/2016,15:00,42518,18:00,109,2016
Ozono,NO,151,Camarones,Martes,24/05/2016,15:00,I,151,Camarones,24/05/2016,15:00,42514,21:00,49,2016
Ozono,SO,178,Santa Fe,Viernes,20/05/2016,15:00,I,188,Cuajimalpa,20/05/2016,16:00,42511,17:00,133,2016
Ozono,SE,157,Tláhuac,Sábado,14/05/2016,17:00,I,157,Tláhuac,14/05/2016,17:00,42505,15:00,69,2016
Ozono,CE,161,Benito Juárez,Lunes,02/05/2016,15:00,I,192,Ajusco Medio,04/05/2016,16:00,42495,17:00,127,2016
Ozono,SO,156,Ajusco,Martes,05/04/2016,17:00,I,156,Ajusco,05/04/2016,17:00,42466,17:00,127,2016
Ozono,SO,194,Cuajimalpa,Lunes,14/03/2016,16:00,I,203,Cuajimalpa,14/03/2016,17:00,42446,16:00,136,2016
PM10,NE,181,Villa de las Flores,Sábado,01/01/2005,08:00,I  Regional,197,Viila de las Flores,01/01/2005,15:00,38354,08:00,90,2005
PM10,NE,176,Xalostoc,Jueves,25/12/2003,12:00,I  Regional,190,Xalostoc,25/12/2003,22:00,37981,12:00,126,2003
Ozono,SO,242,Pedregal,Miércoles,18/09/2002,16:00,I,242,Pedregal,18/09/2002,16:00,37518,16:00,137,2002
PM10,SE,185,Tláhuac,Domingo,30/01/2000,07:00,I  Regional,385,Tláhuac,31/01/2000,15:00,36557,18:00,145,2000
Ozono,SO,272,Plateros,Viernes,15/10/1999,15:00,I,272,Plateros,15/10/1999,15:00,36449,17:00,174,1999
Ozono,NO,242,Azcapotzalco,Jueves,11/03/1999,17:00,I,242,Azcapotzalco,11/03/1999,17:00,36231,17:00,172,1999
Ozono,SO,262,Pedregal,Lunes,11/01/1999,17:00,I,262,Pedregal,11/01/1999,17:00,36174,17:00,170,1999
PM10,NE,179,Nezahualcóyotl,Sábado,19/12/1998,03:00,I,230,Nezahualcóyotl,19/12/1998,13:00,36151,10:00,138,1998
Ozono,NO,262,ENEP Acatlán,Jueves,03/12/1998,15:00,I,262,ENEP Acatlán,03/12/1998,15:00,36135,15:00,176,1998
Ozono,NE,243,San Agustín,Martes,06/10/1998,14:00,I,243,San Agustín,06/10/1998,14:00,36075,16:00,103,1998
Ozono,SO,243,Pedregal,Viernes,05/06/1998,14:00,I,251,Pedregal,05/06/1998,15:00,35952,15:00,105,1998
Ozono,SO,251,Pedregal,Lunes,25/05/1998,14:00,I,251,Pedregal,25/05/1998,14:00,35945,15:00,151,1998
Ozono,NO,250,ENEP Acatlán,Miércoles,22/10/1997,17:00,I,250,ENEP Acatlán,22/10/1997,17:00,35728,17:00,200,1997
Ozono,NO,270,Tacuba,Sábado,27/09/1997,16:00,I,270,Tacuba,27/09/1997,16:00,35701,16:00,142,1997
Ozono,SO,262,Pedregal,Martes,29/04/1997,15:00,I,262,Pedregal,29/04/1997,15:00,35551,16:00,123,1997
Ozono,SO,274,Pedregal,Martes,29/10/1996,14:00,I,274,Pedregal,29/10/1996,14:00,35371,15:30,111,1996
Ozono,SO,256,Pedregal,Martes,15/10/1996,15:00,I,256,Pedregal,15/10/1996,15:00,35355,15:00,117,1996
Ozono,NO,269,Tacuba,Viernes,19/01/1996,15:00,I,269,Tacuba,19/01/1996,15:00,35086,17:00,156,1996
Ozono,SO,254,Pedregal,Viernes,01/12/1995,15:00,I,254,Pedregal,01/12/1995,15:00,35037,15:00,120,1995
Ozono,SO,295,Pedregal,Lunes,31/07/1995,13:00,I,295,Pedregal,31/07/1995,13:00,34912,17:00,87,1995
Ozono,CE,283,Benito Juárez,Viernes,23/06/1995,15:00,I,292,Benito Juárez,23/06/1995,16:00,34874,14:00,167,1995
Ozono,SO,250,Pedregal,Martes,06/06/1995,13:00,I,254,Pedregal,06/06/1995,13:00,34857,14:00,151,1995
Ozono,SO,289,Plateros,Jueves,23/03/1995,13:00,I,289,Plateros,23/03/1995,13:00,34782,14:00,153,1995
Ozono,SO,253,Pedregal,Miércoles,21/12/1994,15:00,I,259,Pedregal,21/12/1994,16:00,34692,14:00,64,1994
Ozono,NO,258,ENEP Acatlán,Miércoles,22/12/1993,13:00,I,295,ENEP Acatlán,23/12/1993,14:00,34328,14:00,149,1993
Ozono,SO,279,Plateros,Lunes,20/12/1993,14:00,I,279,Pedregal,20/12/1993,14:00,34324,15:00,133,1993
Ozono,SO,276,Plateros,Lunes,13/12/1993,14:00,I,289,Pedregal,13/12/1993,15:00,34318,19:00,75,1993
Ozono,NO,271,ENEP Acatlán,Jueves,02/12/1993,14:00,I,271,Pedregal,02/12/1993,16:00,34306,17:00,196,1993
Ozono,SO,266,Plateros,Martes,16/11/1993,14:00,I,266,Plateros,16/11/1993,14:00,34290,14:00,160,1993
Ozono,SO,257,Plateros,Jueves,11/11/1993,14:00,I,278,Plateros,11/11/1993,16:00,34285,18:00,124,1993
Ozono,NO,257,Azcapotzalco,Jueves,28/10/1993,14:00,I,259,Azcapotzalco,28/10/1993,15:00,34271,14:00,29,1993
Ozono,NO,257,ENEP Acatlán,Lunes,13/09/1993,14:00,I,257,ENEP Acatlán,13/09/1993,14:00,34226,14:00,55,1993
Ozono,SO,255,Plateros,Viernes,26/02/1993,13:30,I,284,Merced,26/02/1993,14:00,34027,15:00,190,1993
Ozono,SO,289,Pedregal,Jueves,18/02/1993,13:30,I,312,Pedregal,18/02/1993,14:00,34019,19:00,75,1993
Ozono,SO,278,Pedregal,Martes,16/02/1993,14:30,I,278,Pedregal,16/02/1993,14:00,34017,19:00,87,1993
Ozono,SO,272,Plateros,Viernes,12/02/1993,14:30,I,280,Pedregal,12/02/1993,16:00,34013,18:30,160,1993
Ozono,SO,338,Pedregal,Miércoles,30/12/1992,16:00,II,338,Pedregal,30/12/1992,16:00,33970,17:00,117,1992
Ozono,NO,300,ENEP Acatlán,Viernes,18/12/1992,14:00,I,300,ENEP Acatlán,18/12/1992,14:00,33957,17:00,191,1992
Ozono,SO,360,Plateros,Viernes,20/03/1992,13:00,II,360,Plateros,20/03/1992,13:00,33704,13:00,187,1992
Ozono,SO,293,Pedregal,Jueves,19/03/1992,12:00,I,Continua Fase II,Continua Fase II,Continua Fase II,Continua Fase II,Continua Fase II,Continua Fase II,Continua Fase II,1992
Ozono,SO,398,Plateros,Lunes,16/03/1992,14:00,II,398,Plateros,16/03/1992,14:00,33680,14:00,151,1992
Ozono,SO,276,Plateros,Viernes,06/03/1992,12:00,I,276,Plateros,06/03/1992,12:00,33670,14:00,187,1992
Ozono,SO,274,Pedregal,Martes,18/02/1992,14:30,I,277,Plateros,19/02/1992,14:00,33654,15:00,173,1992
Ozono,NO,342,ENEP Acatlán,Jueves,06/02/1992,13:00,II,342,ENEP Acatlán,06/02/1992,13:00,33641,14:00,132,1992
Ozono,SO,340,Pedregal,Miércoles,23/10/1991,14:00,II,340,Pedregal,23/10/1991,13:00,33536,16:00,179,1991
Ozono,SO,267,Plateros,Miércoles,06/03/1991,12:00,I,315,ENEP Acatlán,07/03/1991,12:00,33307,14:00,162,1991
Ozono,CE,249,Merced,Sábado,02/02/1991,13:00,I,249,Merced,02/02/1991,13:00,33273,16:00,184,1991
Ozono,SO,298,PED/PLA,Jueves,25/02/1988,12:00,I,298,PED/PLA,25/02/1988,13:00,32201,12:00,196,1988
Ozono,SO,233,PED/PLA,Miércoles,03/02/1988,12:00,I,266,PED/PLA,04/02/1988,13:00,32178,12:00,142,1988
