Key,Name,ID,O3,CO,SO2,NO2,PM10,PM25,Status,date,active_env_contingency,Alcaldía o municipio,State,Altitud (msnm),Latitude,Longitude,xTile_in,yTile_in,Domicilio,Página,Notas
MON,Montecillo,4.84151E+11,4,3,4,4,,4,Activa,2024-04-10 12:00:00,1,Texcoco,Estado de México,2252,19.460415,-98.902853,14763,29155,"Km. 36,5 carretera México - Texcoco, Col. Montecillo, C.P. 56230",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=foF+,
MCM,Museo de la Ciudad de México,4.8409E+11,,,,,,,Activa,2024-04-10 12:00:00,0,Cuauhtémoc,CDMX,2237,19.429071,-99.131924,,,"Pino Suárez No. 30, Col. Centro, C.P. 06000",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=fnV9,"Leía hasta el 2002 PM10, ahora solo lee Depósito atmosférico, pH"
NEZ,Nezahualcóyotl,4.84151E+11,3,2,3,3,,3,Activa,2024-04-10 12:00:00,1,Nezahualcóyotl,Estado de México,2235,19.393734,-99.028212,14740,29168,"Av. Ángel de la Independencia s/n, Col. Metropolitana 2a sección, C.P. 57740",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=f3eK,
PED,Pedregal,4.8409E+11,4,2,4,3,3,3,Activa,2024-04-10 12:00:00,1,Álvaro Obregón,CDMX,2326,19.325146,-99.204136,14708,29181,"Cañada No. 370, Col. Jardines del Pedregal, C.P. 01900",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=gXd0,
SAG,San Agustín,4.8415E+11,3,2,3,3,3,3,Activa,2024-04-10 12:00:00,1,Ecatepec de Morelos ,Estado de México,2241,19.532968,-99.030324,14740,29141,"Av. Santa Rita y Sur 92, Col. San Agustín 3a sección, C.P. 55130",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hHN3,
SNT,San Nicolás Totolapan,4.8409E+11,,,,,,,Activa,2024-04-10 12:00:00,0,La Magdalena Contreras,CDMX,2946,19.250385,-99.256462,,,"Km. 11.5 carretera Picacho-Ajusco, C.P. 10900",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hICE,Solo lee depósito atmosférico y pH
SFE,Santa Fe,4.8409E+11,4,3,4,3,3,4,Activa,2024-04-10 12:00:00,1,Cuajimalpa de Morelos,CDMX,2599,19.357357,-99.262865,14697,29175,"Av. Carlos Lazo s/n, entre Tamaulipas y Sta. Fe, Col. Prados de la Montaña, C.P. 05619",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hHh1,
SAC,Santiago Acahualtepec,4.848E+11,3,2,3,3,,3,Activa,2024-04-10 12:00:00,1,Iztapalapa,CDMX,2293,19.34561,-99.009381,14743,29177,"Retama s/n esquina 5 de febrero, Col. 2a Ampliación Santiago Avahualtepec, Iztapalapa, C.P. 09609",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hHNz,
TAH,Tláhuac,4.8409E+11,4,2,4,3,4,,Activa,2024-04-10 12:00:00,1,Xochimilco,CDMX,2297,19.246459,-99.010564,14743,29196,"Escudo Nacional s/n, Col Nativitas, C.P. 16790",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hXN4,
TLA,Tlalnepantla,4.84151E+11,3,1,3,3,3,3,Activa,2024-04-10 12:00:00,1,Tlalnepantla de Baz,Estado de México,2311,19.529077,-99.204597,14708,29141,"Glorieta Atlacomulco s/n, Col. Tlalnemex, C.P. 54070",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hX5x,
TLI,Tultitlán,4.84151E+11,3,2,3,3,3,,Activa,2024-04-10 12:00:00,1,Tultitlán,Estado de México,2313,19.602542,-99.177173,14713,29127,"Blvd. Lomas de Cartagena s/n, Col. Lomas de Cartagena, C.P. 54943",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hX55,
UIZ,UAM Iztapalapa,4.8409E+11,3,2,3,3,3,3,Activa,2024-04-10 12:00:00,1,Iztapalapa,CDMX,2221,19.360794,-99.07388,14732,29174,"San Rafael Atlixco No. 180, Col. Vicentina, C.P. 09340",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hnuK,
UAX,UAM Xochimilco,4.8409E+11,3,2,3,3,,3,Activa,2024-04-10 12:00:00,1,Coyoacán,CDMX,2246,19.304441,-99.103629,14726,29185,"Calz.del Hueso 1100, Col. Villa Quietud, C.P. 04960",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=hnOI,
VIF,Villa de las Flores,4.8415E+11,4,3,3,3,4,,Activa,2024-04-10 12:00:00,1,Coacalco de Berriozábal,Estado de México,2242,19.658223,-99.09659,14728,29116,"Primavera y Palmacristi s/n, Col. Villa de las Flores, C.P. 55710",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=h3t2,
XAL,Xalostoc,4.8415E+11,2,1,2,2,2,2,Activa,2024-04-10 12:00:00,1,Ecatepec de Morelos,Estado de México,2160,19.525995,-99.0824,14730,29142,"Vía Morelos km 12.5, Col. Xalostoc, entre López Rayón y Av. Benito Juárez, C.P. 54190",http://www.aire.cdmx.gob.mx/entornos/entorno_detalle.php?est=iXN8,
